/home/ccollins/allmols/8/noopt/cam/6hl13la6ea-6ia4dd-4aa4af4ae-.log,6hl13la6ea-6ia4dd-4aa4af4ae-,---,---,---,---,---,---,---,---,---,---
/home/ccollins/allmols/8/noopt/cam/13ll6ea13ha-13el-12ef-13ae-6hi4hl.log,13ll6ea13ha-13el-12ef-13ae-6hi4hl,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.7257826779,-0.741510210144,222,12.9690,-2830.9258218,0.6310,5.95
/home/ccollins/allmols/8/noopt/cam/6df13ie13ff-6da4fd12hf4ef6de-.log,6df13ie13ff-6da4fd12hf4ef6de-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.58130858642,-1.48247619261,226,15.4695,-2991.8497305,1.1046,3.66666666667
/home/ccollins/allmols/8/noopt/cam/4aa6ld-6di6ia13ld12ie-13hd-12he.log,4aa6ld-6di6ia13ld12ie-13hd-12he,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.9190018601,-1.75948808029,221,6.3177,-2824.7417573,0.9381,4.3
/home/ccollins/allmols/8/noopt/cam/6af4fl12ff-13ee13fd-4ia12ai-12eh-.log,6af4fl12ff-13ee13fd-4ia12ai-12eh-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.63818037868,-1.42614862802,210,4.7463,-2756.0056787,0.3888,5.08333333333
/home/ccollins/allmols/8/noopt/cam/13ee6ee-13he12lf-12hf-6hf-13da6al-.log,13ee6ee-13he12lf-12hf-6hf-13da6al-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.38293759809,-1.52900765901,222,4.5389,-2917.7361106,0.2333,5.38333333333
/home/ccollins/allmols/8/noopt/cam/12fa13ee-12hh6fh12ii6fl4ea4di-.log,12fa13ee-12hh6fh12ii6fl4ea4di-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.91136431582,-0.814164605046,217,11.8924,-2795.2932124,0.3664,4.03333333333
/home/ccollins/allmols/8/noopt/cam/13al12la-6fe-4ff4dh-6af-4ei-13fe-.log,13al12la-6fe-4ff4dh-6af-4ei-13fe-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.63190340359,-0.873213308019,220,6.8348,-2851.7229054,-0.3262,5.53333333333
/home/ccollins/allmols/8/noopt/cam/12ld6li-4df13fa-13al-13la4ee6ah.log,12ld6li-4df13fa-13al-13la4ee6ah,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.06403853607,-1.28383309044,221,6.3104,-2849.6641108,1.2879,4.25
/home/ccollins/allmols/8/noopt/cam/4ad12lf-13dh6fl-6hl-4hf-4ii6fd-.log,4ad12lf-13dh6fl-6hl-4hf-4ii6fd-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.55055972266,-1.46859838684,233,15.9707,-3034.5694298,1.3681,6.41666666667
/home/ccollins/allmols/8/noopt/cam/12ad6ia-13lf6ie-12ae12fi-13ea4ih-.log,12ad6ia-13lf6ie-12ae12fi-13ea4ih-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.83383022862,-1.43703318157,206,7.8290,-2625.9741727,0.8926,4.8
/home/ccollins/allmols/8/noopt/cam/13ll4ah-12le4di4aa12ea-4dd-4if.log,13ll4ah-12le4di4aa12ea-4dd-4if,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.81287746305,-1.81091759578,222,7.9686,-2801.9989187,0.3547,4.73333333333
/home/ccollins/allmols/8/noopt/cam/12ad4hf4ei4id6fd13af-4id-12ea.log,12ad4hf4ei4id6fd13af-4id-12ea,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.87110982451,-1.71350084157,216,2.9585,-2755.0929458,0.1077,3.75
/home/ccollins/allmols/8/noopt/cam/4ed6ld-13ff-13fe6ie6ee4fe6lf-.log,4ed6ld-13ff-13fe6ie6ee4fe6lf-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.25121614341,-0.893621845913,243,22.4821,-3151.4490858,0.3071,7.11666666667
/home/ccollins/allmols/8/noopt/cam/6fa12fe-13ef4fi-13el4fe13fe6il-.log,6fa12fe-13ef4fi-13el4fe13fe6il-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.8498849451,-0.98260307113,227,6.7732,-2950.7349488,2.0990,3.83333333333
/home/ccollins/allmols/8/noopt/cam/12id13af-12hh-4ia-13fe13ff-13aa12hf.log,12id13af-12hh-4ia-13fe13ff-13aa12hf,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.59899598592,-0.739877527112,192,7.0741,-2542.0529439,2.1015,2.41666666667
/home/ccollins/allmols/8/noopt/cam/13ie13ai-13di-13ei-6la-12ae-4fd-4ei-.log,13ie13ai-13di-13ei-6la-12ae-4fd-4ei-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.01859552502,-1.39757667497,214,11.3244,-2648.357062,2.1561,4.01666666667
/home/ccollins/allmols/8/noopt/cam/12he6el13ei-13if4ie13ff12hd-12la-.log,12he6el13ei-13if4ie13ff12hd-12la-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.5734172851,-1.11675519355,221,3.9107,-2869.9747005,1.8544,6.58333333333
/home/ccollins/allmols/8/noopt/cam/12al13ha-12li4ff13hl6di4hh13ah-.log,12al13ha-12li4ff13hl6di4hh13ah-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.65040714462,-0.371435389668,212,10.9675,-2733.6119465,0.9092,4.53333333333
/home/ccollins/allmols/8/noopt/cam/12aa4fd-4al-12di4ah-12dh-13li-6ll.log,12aa4fd-4al-12di4ah-12dh-13li-6ll,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.02349357412,-1.84738085015,219,1.3620,-2831.6650393,0.3064,4.93333333333
/home/ccollins/allmols/8/noopt/cam/13he4ia4fi13de12lh-13ha13ai6fa-.log,13he4ia4fi13de12lh-13ha13ai6fa-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.22756059626,-1.69771823893,204,10.3318,-2565.6186449,-0.4931,6.41666666667
/home/ccollins/allmols/8/noopt/cam/13hl4ee-12el-4hf12al6ah-13aa12le.log,13hl4ee-12el-4hf12al6ah-13aa12le,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.58919988773,-0.978249249713,218,8.8539,-2816.5572615,2.0433,3.88333333333
/home/ccollins/allmols/8/noopt/cam/13di4ed4ii-12dh12hf-12if12af-4ie-.log,13di4ed4ii-12dh12hf-12if12af-4ie-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.02456367267,-1.43784952308,216,8.4786,-2768.3230163,0.3694,9.25
/home/ccollins/allmols/8/noopt/cam/6ed6lf4ee13ee-6ff-13el-13li-4ai.log,6ed6lf4ee13ee-6ff-13el-13li-4ai,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.23681246677,-1.78833214718,238,3.9834,-3024.0906206,-0.5661,7.26666666667
/home/ccollins/allmols/8/noopt/cam/13fa12fa6hi-12ae-13hi-4fh12hl-4fe-.log,13fa12fa6hi-12ae-13hi-4fh12hl-4fe-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.58457395248,-0.75185053601,206,8.1193,-2680.6468704,2.0389,3.41666666667
/home/ccollins/allmols/8/noopt/cam/12ae13dh6ed6lf13he6fh4fd6il.log,12ae13dh6ed6lf13he6fh4fd6il,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.95873048053,-1.56900839328,232,10.4694,-3028.8531347,1.3006,5.26666666667
/home/ccollins/allmols/8/noopt/cam/13if4ah-12al-13ef6fl-4ia-6ha-6hf-.log,13if4ah-12al-13ef6fl-4ia-6ha-6hf-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.69639438334,-0.8998804642,210,7.8399,-2699.5034126,0.8193,3.7
/home/ccollins/allmols/8/noopt/cam/6li4ff-13fl-13hh-6ff-6ia12de13hf-.log,6li4ff-13fl-13hh-6ff-6ia12de13hf-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.72959227164,-1.18260674249,221,11.6861,-2920.0453628,0.9390,4.28333333333
/home/ccollins/allmols/8/noopt/cam/12ld12ei6fe-4ia12fa-4dh13fl13lh.log,12ld12ei6fe-4ia12fa-4dh13fl13lh,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.51763394819,-1.39730456113,222,6.2336,-2906.5333773,0.8716,5.1
/home/ccollins/allmols/8/noopt/cam/12hf13ed6ia13ha6if13hl-12di-6fd.log,12hf13ed6ia13ha6if13hl-12di-6fd,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.45805937434,-1.63785319444,214,6.3472,-2801.8539965,2.1571,4.25
/home/ccollins/allmols/8/noopt/cam/12lh13dl-4ld12fh-12ll-12ff-6ia13fa.log,12lh13dl-4ld12fh-12ll-12ff-6ia13fa,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-3.33774834408,-1.18587210855,223,7.5693,-3012.6183448,-0.2455,8.15
/home/ccollins/allmols/8/noopt/cam/4if12hf6ai-13fe-4hi12al6ai13lf-.log,4if12hf6ai-13fe-4hi12al6ai13lf-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.67137826699,-0.908043879358,211,3.5697,-2699.1200907,1.2125,5.41666666667
/home/ccollins/allmols/8/noopt/cam/4ll12lf-12ae4dd-12fe-12hf-4ai13ii-.log,4ll12lf-12ae4dd-12fe-12hf-4ai13ii-,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-4.34865125443,-1.67975872558,222,3.9183,-2894.1382833,0.2443,6.15
/home/ccollins/allmols/8/noopt/cam/12hf4ha-4ia13ie-4ff-12ai-6fa-12df.log,12hf4ha-4ia13ie-4ff-12ai-6fa-12df,---,[],"td cam-b3lyp/6-31g(d,p) geom=connectivity",-5.14322366309,-1.28981959489,201,8.5196,-2607.8917182,2.1477,4.45
